"subjID","ismale","tsnr","fd_mean","RT","young","old","soc_nonsoc_young","soc_nonsoc_old"
"sub-104",0.574,0.335345346,-1.109117337,0.256,1,0,0.00241202163130785,0
"sub-105",-0.426,1.43926098,-1.214960371,1.03,1,0,-0.0618881226688361,0
"sub-106",-0.426,0.84197575,-0.295734173,0.00677,1,0,-0.0506182813989951,0
"sub-107",0.574,0.467173848,-1.179449315,0.164,1,0,-0.0511233319040457,0
"sub-108",-0.426,0.4199414,-0.888679465,-1.25,1,0,-0.0949617157424292,0
"sub-109",-0.426,0.680348289,-0.333947122,1.43,1,0,0.0201925294118154,0
"sub-110",0.574,0.771201523,-1.292912535,-1.26,1,0,0.0314163506356373,0
"sub-111",0.574,-0.691764793,0.146433278,-1.25,0,1,0,0.00717392639321237
"sub-112",-0.426,0.817466001,-0.931557862,0.991,1,0,0.156524575743861,0
"sub-113",-0.426,-1.142227911,0.36502216,0.813,1,0,-0.132797213577928,0
"sub-115",-0.426,0.750329892,-0.517222174,0.94,1,0,0.0556587748780608,0
"sub-116",-0.426,-0.449037222,-0.458864599,0.183,1,0,-0.0162292295905891,0
"sub-117",-0.426,1.075760056,-0.887283578,0.308,1,0,0.00146822068750687,0
"sub-118",-0.426,-1.060535185,0.783193711,0.214,1,0,0.10992284414213,0
"sub-121",-0.426,1.822941324,-1.128909272,0.276,1,0,-0.147891008671722,0
"sub-122",-0.426,1.759997806,-1.012660134,1.49,1,0,0.0183716175909037,0
"sub-124",0.574,0.750570699,-0.622688021,0.565,1,0,0.0183825376018237,0
"sub-125",-0.426,1.781157475,-1.063575099,1.67,1,0,0.0436962929155789,0
"sub-126",0.574,-0.881321934,-0.422387959,0.357,1,0,0.00241202163130785,0
"sub-127",-0.426,0.726955566,-0.586700833,0.802,0,1,0,-0.0251132308939447
"sub-128",0.574,0.354984567,0.35040772,-1.27,0,1,0,0.0145332337525203
"sub-129",0.574,-1.141721185,2.26385679,-1.26,0,1,0,-0.0038650346457487
"sub-130",-0.426,-1.262876457,1.236388009,1.18,0,1,0,-0.0218304026111164
"sub-132",-0.426,-0.107125145,-0.012961885,1.63,0,1,0,-0.0400122207929346
"sub-133",0.574,1.055715262,0.050489502,0.906,0,1,0,0.0377655569848432
"sub-134",-0.426,-0.770087816,0.121069128,-1.25,0,1,0,-0.0147596955404093
"sub-135",0.574,-0.653236011,1.016904241,-1.25,0,1,0,-1.22207929345915e-05
"sub-136",-0.426,0.220981734,-0.470718126,-1.24,0,1,0,-0.0418304026111162
"sub-137",0.574,-0.54577279,0.786471014,-0.791,0,1,0,-0.0466500274307416
"sub-138",0.574,-1.700501417,2.956665728,-0.168,0,1,0,-0.0500771558578696
"sub-140",0.574,-0.738385115,0.945144959,-0.417,0,1,0,0.0883812376005239
"sub-141",-0.426,0.509990371,-0.031470684,-0.91,0,1,0,-0.021781526755789
"sub-142",-0.426,-0.159519738,0.411082901,1.53,0,1,0,0.0501392943585805
"sub-143",-0.426,1.600072485,-0.251220667,-1.26,0,1,0,-0.00278863356934764
"sub-144",0.574,-2.070394775,1.857227144,-1.26,0,1,0,-0.00278863356934764
"sub-147",-0.426,-1.000297491,0.677173554,0.0118,0,1,0,0.00261404183332736
"sub-149",0.574,-0.939580152,1.676162702,-1.25,0,1,0,0.0226140418333283
"sub-150",-0.426,-0.537555218,-0.21095519,0.64,1,0,0.0367193809386674,0
"sub-151",-0.426,-1.120709642,1.001343862,-1.25,0,1,0,0.0481190923383793
"sub-152",0.574,-1.252682339,1.56148429,-1.26,0,1,0,-0.0167798975606114
"sub-153",0.574,0.007521336,-0.61313535,-1.24,1,0,-0.0767366075173211,0
"sub-154",-0.426,0.280333975,0.064014578,0.316,0,1,0,0.0339945132137993
"sub-155",0.574,0.898209256,-1.233512086,0.383,1,0,0.0097433999304283,0
"sub-156",-0.426,-1.213480721,0.657957535,1.02,1,0,0.00241202163130785,0
"sub-157",0.574,-0.808294548,-0.32672095,0.195,1,0,0.0691291933484799,0
"sub-158",0.574,-0.339626837,-0.648509396,1.02,1,0,0.046760915980203,0
"sub-159",-0.426,1.218499501,-1.182638625,-0.494,1,0,-0.0100230433037578,0
