template	input_index	npts_declared	analysis_type	cope	source_path
templates/L3_task-ultimatum_type-nppi-ecn_InOut_age_sens.fsf	34	94	type-nppi-ecn	4	/ZPOOL/data/projects/srndna-ultimatum/derivatives/fsl/sub-143/L2_task-ultimatum_model-02_type-nppi-ecn_sm-6.gfeat/cope4.feat/stats/cope1.nii.gz
templates/L3_task-ultimatum_type-nppi-ecn_InOut_age_sens.fsf	81	94	type-nppi-ecn	6	/ZPOOL/data/projects/srndna-ultimatum/derivatives/fsl/sub-143/L2_task-ultimatum_model-02_type-nppi-ecn_sm-6.gfeat/cope6.feat/stats/cope1.nii.gz
templates/L3_template_n47_ug_twogroup_wCovs_in-out_norm2_logit.fsf	34	47	REPLACEME	COPENUM	/ZPOOL/data/projects/srndna-ultimatum/derivatives/fsl/sub-143/L2_task-ultimatum_model-02_REPLACEME_sm-6.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz
templates/L3_template_n47_ug_twogroup_wCovs_in-out_norm2full_logit.fsf	34	47	REPLACEME	COPENUM	/ZPOOL/data/projects/srndna-ultimatum/derivatives/fsl/sub-143/L2_task-ultimatum_model-02_REPLACEME_sm-6.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz
templates/L3_template_n47_ug_twogroup_wCovs_in-out_sensitivity2_logit.fsf	34	47	REPLACEME	COPENUM	/ZPOOL/data/projects/srndna-ultimatum/derivatives/fsl/sub-143/L2_task-ultimatum_model-02_REPLACEME_sm-6.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz
templates/L3_template_n47_ug_twogroup_wCovs_in-out_sensitivity2_logit_yoke.fsf	34	47	REPLACEME	COPENUM	/ZPOOL/data/projects/srndna-ultimatum/derivatives/fsl/sub-143/L2_task-ultimatum_model-02_REPLACEME_sm-6.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz
templates/L3_template_n47_ug_twogroup_wCovs_in-out_sensitivity2_prob.fsf	34	47	REPLACEME	COPENUM	/ZPOOL/data/projects/srndna-ultimatum/derivatives/fsl/sub-143/L2_task-ultimatum_model-02_REPLACEME_sm-6.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz
templates/L3_template_n47_ug_twogroup_wCovs_yoke.fsf	34	47	REPLACEME	COPENUM	/ZPOOL/data/projects/srndna-ultimatum/derivatives/fsl/sub-143/L2_task-ultimatum_model-02_REPLACEME_sm-6.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz
templates/L3_template_n47_ultimatum_onegroup.fsf	34	47	REPLACEME	COPENUM	/ZPOOL/data/projects/srndna-ultimatum/derivatives/fsl/sub-143/L2_task-ultimatum_model-02_REPLACEME_sm-6.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz
templates/L3_template_n47_ultimatum_twogroup.fsf	34	47	REPLACEME	COPENUM	/ZPOOL/data/projects/srndna-ultimatum/derivatives/fsl/sub-143/L2_task-ultimatum_model-02_REPLACEME_sm-6.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz
templates/L3_template_n47_ultimatum_twogroup_wCovs.fsf	34	47	REPLACEME	COPENUM	/ZPOOL/data/projects/srndna-ultimatum/derivatives/fsl/sub-143/L2_task-ultimatum_model-02_REPLACEME_sm-6.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz
