template	npts_declared	multiple_declared	input_rows_found	unique_participants	sub143_input_rows	sub143_input_indices	source_copes	unresolved_placeholders	declared_count_matches_inputs
templates/L3_task-ultimatum_type-act_InOut_age_main.fsf	94	94	94	47	2	34,81	4,6		1
templates/L3_task-ultimatum_type-act_InOut_age_sens.fsf	94	94	94	47	2	34,81	4,6		1
templates/L3_task-ultimatum_type-nppi-dmn_InOut_age_main.fsf	94	94	94	47	2	34,81	4,6		1
templates/L3_task-ultimatum_type-nppi-dmn_InOut_age_sens.fsf	94	94	94	47	2	34,81	4,6		1
templates/L3_task-ultimatum_type-nppi-ecn_InOut_age_main.fsf	94	94	94	47	2	34,81	4,6		1
templates/L3_task-ultimatum_type-nppi-ecn_InOut_age_sens.fsf	94	94	94	47	2	34,81	4,6		1
templates/L3_template_n47_ug_twogroup_wCovs_in-out_norm2_logit.fsf	47	47	47	47	1	34	COPENUM	COPENUM,REPLACEME	1
templates/L3_template_n47_ug_twogroup_wCovs_in-out_norm2full_logit.fsf	47	47	47	47	1	34	COPENUM	COPENUM,REPLACEME	1
templates/L3_template_n47_ug_twogroup_wCovs_in-out_sensitivity2_logit.fsf	47	47	47	47	1	34	COPENUM	COPENUM,REPLACEME	1
templates/L3_template_n47_ug_twogroup_wCovs_in-out_sensitivity2_logit_yoke.fsf	47	47	47	47	1	34	COPENUM	COPENUM,REPLACEME	1
templates/L3_template_n47_ug_twogroup_wCovs_in-out_sensitivity2_prob.fsf	47	47	47	47	1	34	COPENUM	COPENUM,REPLACEME	1
templates/L3_template_n47_ug_twogroup_wCovs_yoke.fsf	47	47	47	47	1	34	COPENUM	COPENUM,REPLACEME	1
templates/L3_template_n47_ultimatum_onegroup.fsf	47	47	47	47	1	34	COPENUM	COPENUM,REPLACEME	1
templates/L3_template_n47_ultimatum_twogroup.fsf	47	47	47	47	1	34	COPENUM	COPENUM,REPLACEME	1
templates/L3_template_n47_ultimatum_twogroup_wCovs.fsf	47	47	47	47	1	34	COPENUM	COPENUM,REPLACEME	1
