"participant_id","age","sex","trial_total","Include"
"sub-106",20,"F",288,"yes"
"sub-109",28,"F",270,"yes"
"sub-104",20,"M",288,"yes"
"sub-110",20,"M",288,"yes"
"sub-105",21,"F",287,"yes"
"sub-108",21,"F",288,"yes"
"sub-107",23,"M",286,"yes"
"sub-111",80,"M",287,"yes"
"sub-112",23,"F",287,"yes"
"sub-113",34,"F",288,"yes"
"sub-115",21,"F",285,"yes"
"sub-116",25,"F",287,"yes"
"sub-117",20,"F",288,"yes"
"sub-118",21,"F",288,"yes"
"sub-120",18,"M",288,"yes"
"sub-121",20,"F",288,"yes"
"sub-122",20,"F",287,"yes"
"sub-124",20,"M",287,"yes"
"sub-125",21,"F",286,"yes"
"sub-126",20,"M",286,"yes"
"sub-127",76,"F",287,"yes"
"sub-128",63,"M",288,"yes"
"sub-129",68,"M",287,"yes"
"sub-130",68,"F",287,"yes"
"sub-131",65,"M",284,"yes"
"sub-132",73,"F",287,"yes"
"sub-133",70,"M",286,"yes"
"sub-134",65,"F",279,"yes"
"sub-135",69,"M",276,"yes"
"sub-136",65,"F",288,"yes"
"sub-137",72,"M",286,"yes"
"sub-138",68,"M",278,"yes"
"sub-140",68,"M",286,"yes"
"sub-141",76,"F",286,"yes"
"sub-142",70,"F",287,"yes"
"sub-143",73,"F",288,"yes"
"sub-144",72,"M",288,"yes"
"sub-145",71,"M",286,"yes"
"sub-147",65,"F",285,"yes"
"sub-149",66,"M",282,"yes"
"sub-150",23,"F",287,"yes"
"sub-151",65,"F",288,"yes"
"sub-152",66,"M",272,"yes"
"sub-153",29,"M",287,"yes"
"sub-154",67,"F",282,"yes"
"sub-156",30,"F",288,"yes"
"sub-155",30,"M",288,"yes"
"sub-157",25,"M",286,"yes"
"sub-158",26,"M",287,"yes"
"sub-159",24,"F",288,"yes"
