"subjID","ismale","tsnr","fd_mean","RT","young","old","in_out_young","in_out_old"
"sub-104",0.574,0.335345346,-1.109117337,0.256,1,0,-0.00211970187627614,0
"sub-105",-0.426,1.43926098,-1.214960371,1.03,1,0,0.0812136314570568,0
"sub-106",-0.426,0.84197575,-0.295734173,0.00677,1,0,-0.00211970187627614,0
"sub-107",0.574,0.467173848,-1.179449315,0.164,1,0,-0.129779276344361,0
"sub-108",-0.426,0.4199414,-0.888679465,-1.25,1,0,-0.127119701876276,0
"sub-109",-0.426,0.680348289,-0.333947122,1.43,1,0,0.0709699991204017,0
"sub-110",0.574,0.771201523,-1.292912535,-1.26,1,0,0.0603802981237239,0
"sub-111",0.574,-0.691764793,0.146433278,-1.25,0,1,0,0.13795122010954
"sub-112",-0.426,0.817466001,-0.931557862,0.991,1,0,0.0395469647903909,0
"sub-113",-0.426,-1.142227911,0.36502216,0.813,1,0,0.0187136314570579,0
"sub-115",-0.426,0.750329892,-0.517222174,0.94,1,0,0.111798737840036,0
"sub-116",-0.426,-0.449037222,-0.458864599,0.183,1,0,0.00763207117336978,0
"sub-117",-0.426,1.075760056,-0.887283578,0.308,1,0,0.0395469647903909,0
"sub-118",-0.426,-1.060535185,0.783193711,0.214,1,0,-0.106286368542942,0
"sub-121",-0.426,1.822941324,-1.128909272,0.276,1,0,-0.0229530352096091,0
"sub-122",-0.426,1.759997806,-1.012660134,1.49,1,0,-0.0460026805996801,0
"sub-124",0.574,0.750570699,-0.622688021,0.565,1,0,-0.00211970187627614,0
"sub-125",-0.426,1.781157475,-1.063575099,1.67,1,0,-0.00211970187627614,0
"sub-126",0.574,-0.881321934,-0.422387959,0.357,1,0,-0.00211970187627614,0
"sub-127",-0.426,0.726955566,-0.586700833,0.802,0,1,0,0.10204696479039
"sub-128",0.574,0.354984567,0.35040772,-1.27,0,1,0,-0.0229530352096101
"sub-129",0.574,-1.141721185,2.26385679,-1.26,0,1,0,-0.0229530352096091
"sub-130",-0.426,-1.262876457,1.236388009,1.18,0,1,0,-0.00211970187627614
"sub-132",-0.426,-0.107125145,-0.012961885,1.63,0,1,0,-0.00211970187627614
"sub-133",0.574,1.055715262,0.050489502,0.906,0,1,0,0.0178078343556079
"sub-134",-0.426,-0.770087816,0.121069128,-1.25,0,1,0,-0.0263621261187003
"sub-135",0.574,-0.653236011,1.016904241,-1.25,0,1,0,0.104160491360439
"sub-136",-0.426,0.220981734,-0.470718126,-1.24,0,1,0,0.122880298123724
"sub-137",0.574,-0.54577279,0.786471014,-0.791,0,1,0,-0.0646197018762761
"sub-138",0.574,-1.700501417,2.956665728,-0.168,0,1,0,0.0336636636943229
"sub-140",0.574,-0.738385115,0.945144959,-0.417,0,1,0,-0.0491055174791132
"sub-141",-0.426,0.509990371,-0.031470684,-0.91,0,1,0,-0.00211970187627614
"sub-142",-0.426,-0.159519738,0.411082901,1.53,0,1,0,0.0187136314570573
"sub-143",-0.426,1.600072485,-0.251220667,-1.26,0,1,0,-0.0437863685429427
"sub-144",0.574,-2.070394775,1.857227144,-1.26,0,1,0,-0.0437863685429427
"sub-147",-0.426,-1.000297491,0.677173554,0.0118,0,1,0,0.0728802981237239
"sub-149",0.574,-0.939580152,1.676162702,-1.25,0,1,0,-0.118657419477823
"sub-150",-0.426,-0.537555218,-0.21095519,0.64,1,0,-0.144850198330177,0
"sub-151",-0.426,-1.120709642,1.001343862,-1.25,0,1,0,0.0395469647903899
"sub-152",0.574,-1.252682339,1.56148429,-1.26,0,1,0,-0.00211970187627614
"sub-153",0.574,0.007521336,-0.61313535,-1.24,1,0,-0.00211970187627614,0
"sub-154",-0.426,0.280333975,0.064014578,0.316,0,1,0,-0.00308869412433816
"sub-155",0.574,0.898209256,-1.233512086,0.383,1,0,-0.0229530352096101,0
"sub-156",-0.426,-1.213480721,0.657957535,1.02,1,0,-0.00211970187627614,0
"sub-157",0.574,-0.808294548,-0.32672095,0.195,1,0,0.0191568938684049,0
"sub-158",0.574,-0.339626837,-0.648509396,1.02,1,0,-0.0362509075500352,0
"sub-159",-0.426,1.218499501,-1.182638625,-0.494,1,0,-0.0437863685429422,0
